the	338.0000	0.0682	4.7263
hunting	4.0000	0.0008	2.8950
of	93.0000	0.0188	4.1692
snark	32.0000	0.0065	3.7146
an	9.0000	0.0018	3.1961
agony	1.0000	0.0002	2.4971
in	93.0000	0.0188	4.1692
EIGHT	2.0000	0.0004	2.6732
fits	1.0000	0.0002	2.4971
by	19.0000	0.0038	3.4971
LEWIS CARROLL	1.0000	0.0002	2.4971
preface	1.0000	0.0002	2.4971
if	17.0000	0.0034	3.4513
and	165.0000	0.0333	4.4162
thing	10.0000	0.0020	3.2375
is	43.0000	0.0087	3.8395
wildly	1.0000	0.0002	2.4971
possible	2.0000	0.0004	2.6732
charge	5.0000	0.0010	2.9742
writing	1.0000	0.0002	2.4971
nonsense	1.0000	0.0002	2.4971
were	12.0000	0.0024	3.3100
ever	8.0000	0.0016	3.1503
brought	3.0000	0.0006	2.7981
against	3.0000	0.0006	2.7981
author	1.0000	0.0002	2.4971
this	17.0000	0.0034	3.4513
brief	1.0000	0.0002	2.4971
but	59.0000	0.0119	3.9742
instructive	1.0000	0.0002	2.4971
poem	4.0000	0.0008	2.8950
it	117.0000	0.0236	4.2679
would	23.0000	0.0046	3.5763
be	28.0000	0.0057	3.6585
based	1.0000	0.0002	2.4971
i	53.0000	0.0107	3.9285
feel	2.0000	0.0004	2.6732
convinced	1.0000	0.0002	2.4971
on	31.0000	0.0063	3.7012
line	1.0000	0.0002	2.4971
then	16.0000	0.0032	3.4265
bowsprit	3.0000	0.0006	2.7981
got	4.0000	0.0008	2.8950
mixed	2.0000	0.0004	2.6732
with	88.0000	0.0178	4.1455
rudder	3.0000	0.0006	2.7981
sometimes	2.0000	0.0004	2.6732
view	4.0000	0.0008	2.8950
painful	1.0000	0.0002	2.4971
possibility	1.0000	0.0002	2.4971
will	17.0000	0.0034	3.4513
not	22.0000	0.0044	3.5578
as	37.0000	0.0075	3.7758
might	7.0000	0.0014	3.0992
appeal	3.0000	0.0006	2.7981
indignantly	2.0000	0.0004	2.6732
to	127.0000	0.0256	4.3033
my	14.0000	0.0028	3.3722
other	5.0000	0.0010	2.9742
writings	1.0000	0.0002	2.4971
a	132.0000	0.0266	4.3199
proof	3.0000	0.0006	2.7981
that	85.0000	0.0172	4.1306
am	3.0000	0.0006	2.7981
incapable	1.0000	0.0002	2.4971
such	10.0000	0.0020	3.2375
deed	1.0000	0.0002	2.4971
